시도,시군구,구분,2012,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,
,,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,
,,부상신고자수,4,3,0,0,,0,3,1,0,1,,,0,0,,,0,0,4,1,0,,0,0,1,3,1,2,,,0,0,,,,,6,5,0,,0,0,5,1,1,0,,,0,0,,,0,0,14,7,0,,0,2,5,7,5,2,,,0,0,,,,,30,21,0,0,0,0,21,9,8,1,,,0,0,0,0,,
,홍천군,발생건수,378,187,8,1,4,6,168,156,101,55,,,35,35,,,,,367,181,10,2,2,3,164,136,93,43,,,50,50,,,,,339,181,8,,1,3,169,143,104,39,,,14,14,1,1,,,313,183,3,1,5,1,173,123,86,37,,,7,7,,,,,366,203,7,,4,2,190,163,121,42,,,,,,,,
,,사망자수,28,24,1,0,0,0,23,3,1,2,,,1,1,,,,,11,7,1,0,0,0,6,2,0,2,,,2,2,,,,,20,17,0,,0,0,17,3,1,2,,,0,0,0,0,,,15,14,0,0,1,0,13,1,1,0,,,0,0,,,,,14,11,1,,0,0,10,3,2,1,,,,,,,,
,,부상자수,699,348,7,1,26,19,295,280,176,104,,,71,71,,,,,626,311,9,3,2,5,292,233,151,82,,,82,82,,,,,587,310,8,,7,5,290,255,186,69,,,21,21,1,1,,,484,269,4,1,12,5,247,202,144,58,,,13,13,,,,,554,323,6,,20,6,291,231,172,59,,,,,,,,
,,중상자수,219,126,3,0,10,4,109,73,49,24,,,20,20,,,,,160,86,2,1,0,4,79,49,31,18,,,25,25,,,,,175,100,5,,0,0,95,66,54,12,,,9,9,0,0,,,150,93,0,1,0,2,90,54,40,14,,,3,3,,,,,158,105,4,,4,4,93,53,36,17,,,,,,,,
,,경상자수,474,218,4,1,15,15,183,205,126,79,,,51,51,,,,,452,220,6,2,2,1,209,177,115,62,,,55,55,,,,,398,202,3,,7,5,187,183,127,56,,,12,12,1,1,,,322,168,4,0,11,3,150,145,102,43,,,9,9,,,,,389,215,2,,15,1,197,174,133,41,,,,,,,,
,,부상신고자수,6,4,0,0,1,0,3,2,1,1,,,0,0,,,,,14,5,1,0,0,0,4,7,5,2,,,2,2,,,,,14,8,0,,0,0,8,6,5,1,,,0,0,0,0,,,12,8,0,0,1,0,7,3,2,1,,,1,1,,,,,7,3,0,,1,1,1,4,3,1,,,,,,,,
,횡성군,발생건수,190,136,5,1,3,4,123,48,42,6,,,5,5,1,1,,,228,139,4,1,7,1,126,75,60,15,,,14,14,,,,,188,109,2,,3,1,103,66,49,17,,,13,13,,,,,244,131,5,,11,5,110,91,67,24,,,21,21,1,1,,,257,166,2,1,5,5,153,85,75,10,,,6,6,,,,
,,사망자수,19,17,0,0,0,0,17,2,2,0,,,0,0,0,0,,,20,12,0,0,0,0,12,3,2,1,,,5,5,,,,,13,13,1,,0,0,12,0,0,0,,,0,0,,,,,14,9,0,,2,0,7,5,4,1,,,0,0,0,0,,,12,9,0,0,0,0,9,2,2,0,,,1,1,,,,
,,부상자수,408,276,5,1,21,12,237,123,110,13,,,8,8,1,1,,,403,251,5,1,32,2,211,121,92,29,,,31,31,,,,,335,192,1,,4,1,186,107,80,27,,,36,36,,,,,514,273,5,,52,17,199,167,116,51,,,71,71,3,3,,,524,365,2,1,30,19,313,151,132,19,,,8,8,,,,
,,중상자수,170,121,2,0,2,4,113,45,41,4,,,4,4,0,0,,,133,79,1,0,3,0,75,40,32,8,,,14,14,,,,,141,89,0,,3,1,85,40,33,7,,,12,12,,,,,169,104,3,,8,8,85,47,33,14,,,15,15,3,3,,,157,106,2,1,8,2,93,48,39,9,,,3,3,,,,
,,경상자수,231,151,3,1,15,8,124,75,66,9,,,4,4,1,1,,,260,166,4,1,24,2,135,78,60,18,,,16,16,,,,,193,102,1,,1,0,100,67,47,20,,,24,24,,,,,339,166,2,,44,9,111,119,82,37,,,54,54,0,0,,,346,248,0,0,22,17,209,94,84,10,,,4,4,,,,
,,부상신고자수,7,4,0,0,4,0,0,3,3,0,,,0,0,0,0,,,10,6,0,0,5,0,1,3,0,3,,,1,1,,,,,1,1,0,,0,0,1,0,0,0,,,0,0,,,,,6,3,0,,0,0,3,1,1,0,,,2,2,0,0,,,21,11,0,0,0,0,11,9,9,0,,,1,1,,,,
,영월군,발생건수,178,104,1,1,6,1,95,57,47,10,,,16,16,1,1,,,162,103,,1,6,4,92,51,41,10,,,7,7,1,1,,,144,94,4,2,4,5,79,47,37,10,,,3,3,,,,,147,102,9,1,1,4,87,44,39,5,,,1,1,,,,,183,91,4,,4,6,77,80,70,10,,,11,11,1,1,,
,,사망자수,15,14,0,1,1,0,12,1,1,0,,,0,0,0,0,,,10,9,,0,0,1,8,0,0,0,,,1,1,0,0,,,9,9,1,0,0,0,8,0,0,0,,,0,0,,,,,10,10,3,0,0,0,7,0,0,0,,,0,0,,,,,9,6,0,,0,0,6,1,1,0,,,2,2,0,0,,
,,부상자수,321,208,1,0,9,2,196,79,63,16,,,33,33,1,1,,,279,187,,1,14,9,163,82,64,18,,,9,9,1,1,,,223,148,3,2,11,9,123,72,55,17,,,3,3,,,,,271,206,6,1,20,9,170,64,56,8,,,1,1,,,,,314,152,7,,12,13,120,138,125,13,,,20,20,4,4,,
,,중상자수,118,80,0,0,1,2,77,24,22,2,,,13,13,1,1,,,118,83,,1,4,3,75,29,20,9,,,6,6,0,0,,,103,65,2,1,4,4,54,36,28,8,,,2,2,,,,,112,91,5,1,6,4,75,21,20,1,,,0,0,,,,,87,49,2,,2,4,41,28,23,5,,,7,7,3,3,,
,,경상자수,189,124,1,0,7,0,116,53,39,14,,,12,12,0,0,,,132,84,,0,10,5,69,44,37,7,,,3,3,1,1,,,102,73,1,1,5,5,61,28,22,6,,,1,1,,,,,111,75,1,0,14,2,58,35,29,6,,,1,1,,,,,169,74,4,,10,8,52,86,82,4,,,8,8,1,1,,
,,부상신고자수,14,4,0,0,1,0,3,2,2,0,,,8,8,0,0,,,29,20,,0,0,1,19,9,7,2,,,0,0,0,0,,,18,10,0,0,2,0,8,8,5,3,,,0,0,,,,,48,40,0,0,0,3,37,8,7,1,,,0,0,,,,,58,29,1,,0,1,27,24,20,4,,,5,5,0,0,,
,평창군,발생건수,248,180,1,,14,7,158,68,57,11,,,,,,,,,233,161,1,,9,6,145,60,48,12,,,12,12,,,,,235,148,1,,5,3,139,70,57,13,,,17,17,,,,,229,166,2,,11,1,152,52,43,9,,,11,11,,,,,253,185,1,,10,4,170,65,59,6,,,3,3,,,,
,,사망자수,17,14,0,,0,0,14,3,3,0,,,,,,,,,12,10,0,,0,1,9,1,1,0,,,1,1,,,,,8,7,0,,0,0,7,0,0,0,,,1,1,,,,,13,13,1,,0,0,12,0,0,0,,,0,0,,,,,13,13,0,,4,1,8,0,0,0,,,0,0,,,,
,,부상자수,525,368,1,,56,13,298,157,136,21,,,,,,,,,491,305,1,,34,13,257,138,110,28,,,48,48,,,,,541,368,2,,23,7,336,143,119,24,,,30,30,,,,,474,338,1,,44,1,292,95,78,17,,,41,41,,,,,592,454,1,,87,6,360,135,120,15,,,3,3,,,,
,,중상자수,211,157,1,,14,11,131,54,45,9,,,,,,,,,188,126,0,,13,4,109,42,39,3,,,20,20,,,,,150,108,2,,3,0,103,33,25,8,,,9,9,,,,,143,106,0,,9,0,97,34,31,3,,,3,3,,,,,163,130,1,,18,2,109,31,30,1,,,2,2,,,,
,,경상자수,309,207,0,,39,1,167,102,90,12,,,,,,,,,296,177,1,,21,9,146,92,69,23,,,27,27,,,,,352,229,0,,20,7,202,102,86,16,,,21,21,,,,,299,217,1,,35,1,180,56,44,12,,,26,26,,,,,423,319,0,,69,4,246,103,89,14,,,1,1,,,,
,,부상신고자수,5,4,0,,3,1,0,1,1,0,,,,,,,,,7,2,0,,0,0,2,4,2,2,,,1,1,,,,,39,31,0,,0,0,31,8,8,0,,,0,0,,,,,32,15,0,,0,0,15,5,3,2,,,12,12,,,,,6,5,0,,0,0,5,1,1,0,,,0,0,,,,
,정선군,발생건수,144,70,3,,3,1,63,34,26,8,,,40,40,,,,,150,64,4,1,1,2,56,55,48,7,,,31,31,,,,,125,63,,1,,,62,52,37,15,,,10,10,,,,,184,111,5,,5,3,98,51,39,12,,,22,22,,,,,167,116,,3,1,2,110,43,34,9,,,8,8,,,,
,,사망자수,5,3,0,,0,1,2,0,0,0,,,2,2,,,,,8,4,0,0,0,0,4,2,2,0,,,2,2,,,,,8,4,,0,,,4,2,1,1,,,2,2,,,,,10,5,0,,0,0,5,2,2,0,,,3,3,,,,,9,9,,0,0,0,9,0,0,0,,,0,0,,,,
,,부상자수,308,133,7,,10,0,116,78,62,16,,,97,97,,,,,260,115,5,1,3,3,103,97,87,10,,,48,48,,,,,237,139,,1,,,138,84,63,21,,,14,14,,,,,317,183,5,,15,5,158,89,67,22,,,45,45,,,,,330,234,,3,2,13,216,88,65,23,,,8,8,,,,
,,중상자수,103,59,1,,8,0,50,20,17,3,,,24,24,,,,,95,52,2,0,3,1,46,29,23,6,,,14,14,,,,,74,41,,1,,,40,29,23,6,,,4,4,,,,,94,65,1,,2,4,58,20,16,4,,,9,9,,,,,70,52,,3,0,1,48,16,14,2,,,2,2,,,,
,,경상자수,196,67,6,,2,0,59,56,43,13,,,73,73,,,,,162,62,3,1,0,2,56,68,64,4,,,32,32,,,,,160,95,,0,,,95,55,40,15,,,10,10,,,,,203,110,3,,11,1,95,58,40,18,,,35,35,,,,,241,166,,0,2,11,153,70,50,20,,,5,5,,,,
,,부상신고자수,9,7,0,,0,0,7,2,2,0,,,0,0,,,,,3,1,0,0,0,0,1,0,0,0,,,2,2,,,,,3,3,,0,,,3,0,0,0,,,0,0,,,,,20,8,1,,2,0,5,11,11,0,,,1,1,,,,,19,16,,0,0,1,15,2,1,1,,,1,1,,,,
,철원군,발생건수,194,109,2,,,,107,84,67,17,,,1,1,,,,,178,104,1,3,,,100,74,69,5,,,,,,,,,161,83,1,1,,,81,76,69,7,,,2,2,,,,,189,108,4,,,4,100,78,69,9,,,3,3,,,,,179,87,,2,,,85,85,75,10,,,7,7,,,,
,,사망자수,10,6,1,,,,5,4,3,1,,,0,0,,,,,9,5,1,0,,,4,4,4,0,,,,,,,,,13,9,0,0,,,9,4,4,0,,,0,0,,,,,8,7,0,,,0,7,1,1,0,,,0,0,,,,,8,7,,0,,,7,1,1,0,,,0,0,,,,
,,부상자수,313,169,1,,,,168,142,117,25,,,2,2,,,,,271,145,0,3,,,142,126,120,6,,,,,,,,,239,98,1,1,,,96,139,131,8,,,2,2,,,,,292,155,5,,,6,144,133,121,12,,,4,4,,,,,282,130,,2,,,128,144,133,11,,,8,8,,,,
,,중상자수,135,88,1,,,,87,47,40,7,,,0,0,,,,,121,66,0,1,,,65,55,54,1,,,,,,,,,105,47,0,1,,,46,57,53,4,,,1,1,,,,,97,55,2,,,3,50,40,33,7,,,2,2,,,,,121,63,,0,,,63,53,48,5,,,5,5,,,,
,,경상자수,178,81,0,,,,81,95,77,18,,,2,2,,,,,150,79,0,2,,,77,71,66,5,,,,,,,,,133,50,1,0,,,49,82,78,4,,,1,1,,,,,189,95,2,,,3,90,92,87,5,,,2,2,,,,,157,63,,2,,,61,91,85,6,,,3,3,,,,
,,부상신고자수,0,0,0,,,,0,0,0,0,,,0,0,,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,1,1,0,0,,,1,0,0,0,,,0,0,,,,,6,5,1,,,0,4,1,1,0,,,0,0,,,,,4,4,,0,,,4,0,0,0,,,0,0,,,,
,화천군,발생건수,95,70,,,2,,68,25,20,5,,,,,,,,,79,55,,1,2,,52,22,17,5,,,2,2,,,,,79,36,1,,1,1,33,20,14,6,,,23,23,,,,,68,45,,,1,2,42,20,18,2,,,3,3,,,,,87,60,1,,4,2,53,24,16,8,,,3,3,,,,
,,사망자수,5,4,,,0,,4,1,0,1,,,,,,,,,2,2,,0,0,,2,0,0,0,,,0,0,,,,,4,2,0,,0,0,2,2,1,1,,,0,0,,,,,3,3,,,1,1,1,0,0,0,,,0,0,,,,,6,5,0,,0,0,5,1,0,1,,,0,0,,,,
,,부상자수,176,123,,,6,,117,53,44,9,,,,,,,,,141,95,,1,4,,90,36,28,8,,,10,10,,,,,113,53,1,,6,1,45,25,15,10,,,35,35,,,,,117,76,,,1,2,73,37,35,2,,,4,4,,,,,130,84,1,,9,3,71,37,28,9,,,9,9,,,,
,,중상자수,66,47,,,5,,42,19,13,6,,,,,,,,,42,32,,0,3,,29,10,10,0,,,0,0,,,,,40,24,1,,4,0,19,8,5,3,,,8,8,,,,,19,10,,,1,1,8,7,6,1,,,2,2,,,,,34,21,0,,3,1,17,10,8,2,,,3,3,,,,
,,경상자수,101,67,,,0,,67,34,31,3,,,,,,,,,86,52,,1,0,,51,24,17,7,,,10,10,,,,,60,22,0,,2,1,19,16,10,6,,,22,22,,,,,87,59,,,0,1,58,26,25,1,,,2,2,,,,,88,58,0,,5,2,51,26,20,6,,,4,4,,,,
,,부상신고자수,9,9,,,1,,8,0,0,0,,,,,,,,,13,11,,0,1,,10,2,1,1,,,0,0,,,,,13,7,0,,0,0,7,1,0,1,,,5,5,,,,,11,7,,,0,0,7,4,4,0,,,0,0,,,,,8,5,1,,1,0,3,1,0,1,,,2,2,,,,
,양구군,발생건수,65,36,1,,1,,34,26,22,4,,,3,3,,,,,82,45,3,2,1,2,37,36,32,4,,,1,1,,,,,92,38,1,3,4,,30,51,41,10,,,3,3,,,,,83,42,1,3,2,1,35,38,28,10,,,3,3,,,,,71,28,1,1,,,26,38,29,9,,,5,5,,,,
,,사망자수,5,5,0,,0,,5,0,0,0,,,0,0,,,,,3,2,0,0,0,0,2,1,1,0,,,0,0,,,,,6,3,0,0,0,,3,3,2,1,,,0,0,,,,,7,5,0,0,0,0,5,2,2,0,,,0,0,,,,,5,4,0,0,,,4,1,1,0,,,0,0,,,,
,,부상자수,137,97,1,,1,,95,37,32,5,,,3,3,,,,,168,83,3,5,3,2,70,84,79,5,,,1,1,,,,,159,61,1,3,16,,41,84,74,10,,,14,14,,,,,135,55,1,5,5,3,41,76,57,19,,,4,4,,,,,111,36,1,1,,,34,70,59,11,,,5,5,,,,
,,중상자수,67,41,0,,1,,40,24,21,3,,,2,2,,,,,62,37,3,1,3,1,29,24,21,3,,,1,1,,,,,52,17,1,0,0,,16,30,26,4,,,5,5,,,,,50,21,1,1,0,0,19,27,23,4,,,2,2,,,,,38,20,1,1,,,18,16,13,3,,,2,2,,,,
,,경상자수,70,56,1,,0,,55,13,11,2,,,1,1,,,,,96,44,0,3,0,1,40,52,50,2,,,0,0,,,,,87,34,0,2,13,,19,44,38,6,,,9,9,,,,,66,23,0,1,5,3,14,41,31,10,,,2,2,,,,,62,16,0,0,,,16,44,36,8,,,2,2,,,,
,,부상신고자수,0,0,0,,0,,0,0,0,0,,,0,0,,,,,10,2,0,1,0,0,1,8,8,0,,,0,0,,,,,20,10,0,1,3,,6,10,10,0,,,0,0,,,,,19,11,0,3,0,0,8,8,3,5,,,0,0,,,,,11,0,0,0,,,0,10,10,0,,,1,1,,,,
,인제군,발생건수,108,75,2,,3,3,67,32,18,14,,,1,1,,,,,88,60,,,,1,59,28,16,12,,,,,,,,,120,78,,,,3,75,40,28,12,,,2,2,,,,,117,81,,,3,,78,36,29,7,,,,,,,,,182,110,1,2,5,8,94,72,42,30,,,,,,,,
,,사망자수,12,8,0,,0,1,7,4,3,1,,,0,0,,,,,10,7,,,,0,7,3,2,1,,,,,,,,,9,9,,,,0,9,0,0,0,,,0,0,,,,,13,9,,,0,,9,4,3,1,,,,,,,,,7,7,0,0,0,0,7,0,0,0,,,,,,,,
,,부상자수,219,147,2,,13,9,123,71,30,41,,,1,1,,,,,168,109,,,,1,108,59,32,27,,,,,,,,,229,153,,,,3,150,70,47,23,,,6,6,,,,,258,194,,,5,,189,64,54,10,,,,,,,,,337,211,1,4,15,17,174,126,68,58,,,,,,,,
,,중상자수,88,57,2,,2,5,48,30,16,14,,,1,1,,,,,95,68,,,,1,67,27,13,14,,,,,,,,,90,56,,,,1,55,31,21,10,,,3,3,,,,,100,73,,,1,,72,27,26,1,,,,,,,,,125,78,1,2,4,1,70,47,25,22,,,,,,,,
,,경상자수,121,84,0,,11,4,69,37,13,24,,,0,0,,,,,65,36,,,,0,36,29,16,13,,,,,,,,,129,92,,,,2,90,34,22,12,,,3,3,,,,,143,107,,,4,,103,36,27,9,,,,,,,,,203,126,0,2,10,13,101,77,41,36,,,,,,,,
,,부상신고자수,10,6,0,,0,0,6,4,1,3,,,0,0,,,,,8,5,,,,0,5,3,3,0,,,,,,,,,10,5,,,,0,5,5,4,1,,,0,0,,,,,15,14,,,0,,14,1,1,0,,,,,,,,,9,7,0,0,1,3,3,2,2,0,,,,,,,,
,고성군,발생건수,189,126,,4,2,1,119,58,27,31,,,4,4,1,1,,,178,120,2,,1,,117,58,35,23,,,,,,,,,159,91,,,10,,81,66,50,16,,,1,1,1,1,,,174,84,1,1,3,,79,87,63,24,,,3,3,,,,,131,71,,,3,,68,47,36,11,,,13,13,,,,
,,사망자수,14,12,,0,0,0,12,2,0,2,,,0,0,0,0,,,8,7,0,,0,,7,1,0,1,,,,,,,,,7,6,,,0,,6,1,1,0,,,0,0,0,0,,,8,3,0,0,0,,3,5,3,2,,,0,0,,,,,7,4,,,0,,4,3,1,2,,,0,0,,,,
,,부상자수,458,307,,5,2,1,299,140,87,53,,,9,9,2,2,,,376,247,2,,2,,243,129,82,47,,,,,,,,,287,154,,,21,,133,131,98,33,,,1,1,1,1,,,354,189,1,15,6,,167,162,124,38,,,3,3,,,,,215,113,,,5,,108,85,67,18,,,17,17,,,,
,,중상자수,102,74,,2,2,1,69,23,13,10,,,3,3,2,2,,,88,61,2,,0,,59,27,20,7,,,,,,,,,73,44,,,5,,39,29,19,10,,,0,0,0,0,,,90,43,0,0,2,,41,46,38,8,,,1,1,,,,,54,26,,,1,,25,24,16,8,,,4,4,,,,
,,경상자수,247,150,,3,0,0,147,91,53,38,,,6,6,0,0,,,267,175,0,,2,,173,92,57,35,,,,,,,,,214,110,,,16,,94,102,79,23,,,1,1,1,1,,,260,142,1,15,1,,125,116,86,30,,,2,2,,,,,157,85,,,4,,81,61,51,10,,,11,11,,,,
,,부상신고자수,109,83,,0,0,0,83,26,21,5,,,0,0,0,0,,,21,11,0,,0,,11,10,5,5,,,,,,,,,0,0,,,0,,0,0,0,0,,,0,0,0,0,,,4,4,0,0,3,,1,0,0,0,,,0,0,,,,,4,2,,,0,,2,0,0,0,,,2,2,,,,
,양양군,발생건수,174,93,1,,1,1,90,78,52,26,,,3,3,,,,,140,77,,,,1,76,62,38,24,,,,,,,1,1,162,88,,,,2,86,72,49,23,,,1,1,1,1,,,178,100,4,,,2,94,77,55,22,,,1,1,,,,,147,71,1,1,1,2,66,73,43,30,,,3,3,,,,
,,사망자수,9,7,0,,0,0,7,2,0,2,,,0,0,,,,,15,12,,,,1,11,3,0,3,,,,,,,0,0,3,2,,,,0,2,1,1,0,,,0,0,0,0,,,10,6,1,,,1,4,4,3,1,,,0,0,,,,,7,2,0,0,0,0,2,4,2,2,,,1,1,,,,
,,부상자수,304,140,1,,1,2,136,151,97,54,,,13,13,,,,,283,126,,,,0,126,156,97,59,,,,,,,1,1,319,152,,,,8,144,165,104,61,,,1,1,1,1,,,347,186,3,,,4,179,160,106,54,,,1,1,,,,,297,137,1,3,1,3,129,158,83,75,,,2,2,,,,
,,중상자수,102,58,0,,0,1,57,42,29,13,,,2,2,,,,,67,33,,,,0,33,33,20,13,,,,,,,1,1,82,45,,,,2,43,36,29,7,,,0,0,1,1,,,95,57,1,,,0,56,38,32,6,,,0,0,,,,,70,35,0,1,0,0,34,35,14,21,,,0,0,,,,
,,경상자수,200,81,1,,1,1,78,108,67,41,,,11,11,,,,,212,92,,,,0,92,120,74,46,,,,,,,0,0,220,100,,,,5,95,119,75,44,,,1,1,0,0,,,244,126,2,,,4,120,117,71,46,,,1,1,,,,,218,98,0,2,1,3,92,119,67,52,,,1,1,,,,
,,부상신고자수,2,1,0,,0,0,1,1,1,0,,,0,0,,,,,4,1,,,,0,1,3,3,0,,,,,,,0,0,17,7,,,,1,6,10,0,10,,,0,0,0,0,,,8,3,0,,,0,3,5,3,2,,,0,0,,,,,9,4,1,0,0,0,3,4,2,2,,,1,1,,,,
충북,합계,발생건수,8636,4171,170,47,25,64,3865,4296,2767,1529,1,1,157,157,9,9,2,2,8501,3841,133,50,17,40,3601,4413,2797,1616,,,232,232,10,10,5,5,8937,4173,166,23,24,42,3918,4511,2973,1538,1,1,249,249,2,2,1,1,9335,4277,147,26,31,39,4034,4853,3231,1622,,,195,195,9,9,1,1,9392,4011,157,32,19,44,3759,5111,3250,1861,,,259,259,5,5,6,6
,,사망자수,280,203,6,2,3,5,187,74,55,19,0,0,3,3,0,0,0,0,286,173,1,1,1,2,168,106,64,42,,,7,7,0,0,0,0,253,186,5,2,1,3,175,60,40,20,0,0,7,7,0,0,0,0,238,151,5,2,0,3,141,83,65,18,,,3,3,1,1,0,0,231,144,2,0,1,1,140,70,39,31,,,15,15,0,0,2,2
,,부상자수,14410,6593,185,75,57,110,6166,7555,4912,2643,1,1,234,234,25,25,2,2,14222,6216,152,77,35,96,5856,7637,4942,2695,,,326,326,35,35,8,8,14759,6655,176,27,59,84,6309,7762,5201,2561,1,1,335,335,5,5,1,1,14927,6527,157,26,65,64,6215,8095,5497,2598,,,278,278,26,26,1,1,15144,6257,174,41,35,97,5910,8515,5471,3044,,,360,360,8,8,4,4
,,중상자수,4912,2392,96,31,17,43,2205,2427,1683,744,1,1,81,81,10,10,1,1,4472,2058,75,26,12,25,1920,2284,1575,709,,,116,116,12,12,2,2,4451,2063,90,7,24,24,1918,2278,1623,655,1,1,107,107,1,1,1,1,4217,1928,73,12,14,14,1815,2210,1578,632,,,73,73,6,6,0,0,3776,1728,82,16,12,30,1588,1956,1352,604,,,87,87,4,4,1,1
,,경상자수,9210,4036,85,42,37,62,3810,5010,3141,1869,0,0,148,148,15,15,1,1,9373,3979,74,50,22,68,3765,5162,3225,1937,,,204,204,22,22,6,6,9823,4353,83,20,35,57,4158,5252,3412,1840,0,0,214,214,4,4,0,0,10120,4324,79,11,51,47,4136,5583,3719,1864,,,192,192,20,20,1,1,10797,4269,88,23,21,60,4077,6254,3922,2332,,,268,268,4,4,2,2
,,부상신고자수,288,165,4,2,3,5,151,118,88,30,0,0,5,5,0,0,0,0,377,179,3,1,1,3,171,191,142,49,,,6,6,1,1,0,0,485,239,3,0,0,3,233,232,166,66,0,0,14,14,0,0,0,0,590,275,5,3,0,3,264,302,200,102,,,13,13,0,0,0,0,571,260,4,2,2,7,245,305,197,108,,,5,5,0,0,1,1
,청주시,발생건수,3606,1565,107,21,2,13,1422,1993,1132,861,1,1,43,43,4,4,,,3637,1548,83,24,2,8,1431,2011,1119,892,,,69,69,6,6,3,3,4345,2008,109,14,4,10,1871,2254,1372,882,,,82,82,1,1,,,4966,2192,113,19,4,17,2039,2716,1701,1015,,,53,53,5,5,,,4976,2096,100,22,3,20,1951,2779,1641,1138,,,96,96,2,2,3,3
,,사망자수,49,25,3,0,0,1,21,24,13,11,0,0,0,0,0,0,,,57,33,0,0,0,0,33,24,13,11,,,0,0,0,0,0,0,86,66,5,1,0,1,59,20,11,9,,,0,0,0,0,,,79,52,5,1,0,2,44,25,18,7,,,2,2,0,0,,,74,48,2,0,0,0,46,24,12,12,,,1,1,0,0,1,1
,,부상자수,5920,2426,118,29,4,17,2258,3428,1969,1459,1,1,60,60,5,5,,,5905,2333,89,36,2,16,2190,3455,1990,1465,,,92,92,20,20,5,5,6983,3071,112,13,5,18,2923,3811,2388,1423,,,99,99,2,2,,,7848,3280,117,20,11,27,3105,4487,2862,1625,,,64,64,17,17,,,7878,3143,111,27,4,49,2952,4599,2721,1878,,,131,131,3,3,2,2
,,중상자수,1580,673,59,9,1,4,600,892,562,330,1,1,13,13,1,1,,,1492,611,43,9,1,3,555,850,518,332,,,23,23,7,7,1,1,1787,783,60,4,4,5,710,986,668,318,,,18,18,0,0,,,1928,827,54,11,0,7,755,1082,741,341,,,17,17,2,2,,,1713,759,46,12,1,10,690,922,596,326,,,30,30,2,2,0,0
,,경상자수,4254,1710,56,20,3,13,1618,2494,1385,1109,0,0,46,46,4,4,,,4328,1687,45,27,1,13,1601,2555,1440,1115,,,69,69,13,13,4,4,5062,2228,51,9,1,13,2154,2753,1673,1080,,,79,79,2,2,,,5768,2380,60,8,11,20,2281,3330,2082,1248,,,43,43,15,15,,,5970,2294,63,15,3,37,2176,3574,2066,1508,,,100,100,1,1,1,1
,,부상신고자수,86,43,3,0,0,0,40,42,22,20,0,0,1,1,0,0,,,85,35,1,0,0,0,34,50,32,18,,,0,0,0,0,0,0,134,60,1,0,0,0,59,72,47,25,,,2,2,0,0,,,152,73,3,1,0,0,69,75,39,36,,,4,4,0,0,,,195,90,2,0,0,2,86,103,59,44,,,1,1,0,0,1,1
,충주시,발생건수,1201,679,20,7,8,13,631,507,383,124,,,12,12,3,3,,,1137,569,15,4,3,13,534,533,390,143,,,35,35,,,,,1268,640,23,3,4,8,602,548,385,163,,,80,80,,,,,1332,686,9,2,4,10,661,614,404,210,,,31,31,1,1,,,1383,621,16,4,2,10,589,726,463,263,,,34,34,2,2,,
,,사망자수,36,31,1,0,0,1,29,5,5,0,,,0,0,0,0,,,45,26,0,0,0,1,25,17,10,7,,,2,2,,,,,30,23,0,0,0,1,22,6,2,4,,,1,1,,,,,40,22,0,0,0,1,21,18,15,3,,,0,0,0,0,,,42,27,0,0,1,1,25,10,4,6,,,5,5,0,0,,
,,부상자수,1944,1042,22,12,26,32,950,872,649,223,,,14,14,16,16,,,1945,940,18,6,7,21,888,960,718,242,,,45,45,,,,,2179,1093,26,7,17,19,1024,978,685,293,,,108,108,,,,,2125,1059,10,2,10,21,1016,1023,695,328,,,38,38,5,5,,,2279,1047,18,7,5,25,992,1193,782,411,,,36,36,3,3,,
,,중상자수,769,412,14,4,2,14,378,350,265,85,,,1,1,6,6,,,753,366,13,2,0,11,340,371,282,89,,,16,16,,,,,719,367,9,2,6,4,346,317,236,81,,,35,35,,,,,612,315,6,1,1,1,306,290,194,96,,,6,6,1,1,,,569,254,7,2,0,13,232,305,210,95,,,9,9,1,1,,
,,경상자수,1076,569,7,8,22,15,517,487,357,130,,,10,10,10,10,,,1025,499,5,3,6,8,477,501,363,138,,,25,25,,,,,1271,633,16,5,11,14,587,575,384,191,,,63,63,,,,,1272,634,3,0,9,18,604,607,412,195,,,27,27,4,4,,,1508,705,10,3,5,8,679,775,496,279,,,26,26,2,2,,
,,부상신고자수,99,61,1,0,2,3,55,35,27,8,,,3,3,0,0,,,167,75,0,1,1,2,71,88,73,15,,,4,4,,,,,189,93,1,0,0,1,91,86,65,21,,,10,10,,,,,241,110,1,1,0,2,106,126,89,37,,,5,5,0,0,,,202,88,1,2,0,4,81,113,76,37,,,1,1,0,0,,
